Bus Name,Departure Time,Reaching Time,Duration,Bus Price,Seat Availability,Bus Type,Rating,Bus Route,Bus Route Link
MADHURIKA TRAVELS,12:45,18:00,05h 15m,INR 600 555,"18 Seats available
10 Window",A/C Seater (2+1),2.2,Jorhat to Tinsukia,https://www.redbus.in/bus-tickets/jorhat-to-tinsukia
Puja Transport,20:00,05:00,09h 00m,"Starts from
INR 550","13 Seats available
2 Single",NON AC Seater / Sleeper 2+1,3.6,Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur
Aniruddha Travels,20:00,04:00,08h 00m,"Starts from
INR 550","12 Seats available
5 Window",NON A/C Seater/ Sleeper (2+1),3.1,Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur
SANJEEBANI TRAVELS,18:45,03:00,08h 15m,"Starts from
INR 600",28 Seats available,Non A/C Seater / Sleeper (2+1),N/A,Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur
J.S. Travels,19:00,04:00,09h 00m,INR 500,"19 Seats available
11 Window",Non AC Seater (2+1),2.7,Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur
Puja Transport,19:15,04:00,08h 45m,INR 550,"29 Seats available
13 Window",Non AC Seater (2+2),2.8,Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur
Neha Travels,17:00,03:15,10h 15m,INR 650,"29 Seats available
16 Window",NON A/C Sleeper (2+1),2.3,Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur
Mahi Travels(Under ASTC),11:15,17:00,05h 45m,INR 474.85 427,"26 Seats available
12 Window",Bharat Benz A/C Seater (2+2),3.1,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
Orient Transline,11:30,16:40,05h 10m,INR 476.19,"15 Seats available
6 Window",A/C Seater (2+1),4.2,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
Kanchan Travels,11:45,17:25,05h 40m,INR 432 410,"30 Seats available
12 Window",AC Seater (2+2),3.2,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
Orient Transline,12:15,19:30,07h 15m,INR 380.95,24 Seats available,NON A/C Seater (2+1),3.7,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
Orient Transline,13:00,19:10,06h 10m,INR 476.19,"21 Seats available
10 Window",A/C Seater (2+1),3.5,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
Mahi Travels(Under ASTC),14:15,19:30,05h 15m,INR 504.5 454,35 Seats available,A/C Seater (2+2),4.7,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
Mahalaxmi Travels,14:35,20:00,05h 25m,INR 410,40 Seats available,Tata A/C Seater (2+2),4.8,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
Yatra Travels,18:00,01:30,07h 30m,INR 550 450,"34 Seats available
21 Window",NON AC Seater/ Sleeper (2+1),4.0,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
BLUE HILL TRAVELS INDIA LIMITED,19:15,01:30,06h 15m,INR 500,"26 Seats available
13 Window",NON A/C Seater Semi Sleeper (2+1),3.4,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
PARIJAT TRAVELS(UNDER ASTC),19:35,02:00,06h 25m,INR 500 375,"24 Seats available
14 Window",NON A/C Seater (2+1),3.8,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
Yatra Travels,20:00,01:00,05h 00m,INR 550 450,"27 Seats available
14 Window",NON AC Seater/ Sleeper (2+1),3.3,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
Pranjit Travels (Under ASTC),20:30,03:00,06h 30m,INR 500,"32 Seats available
11 Single",NON A/C Seater (2+1),4.0,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
Pranjit Travels (Under ASTC),20:45,03:30,06h 45m,"Starts from
INR 550","30 Seats available
1 Single",A/C Seater / Sleeper (2+1),3.7,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
Maharathi Travels(UNDER ASTC),20:55,03:30,06h 35m,INR 500 400,"32 Seats available
21 Window",NON A/C Seater (2+1),3.8,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali
